"rt","key_press","trial_type","trial_index","trial_index_global","time_elapsed","internal_chunk_id","responses","experimental_goal_height","experimental_start_height","experimental_weeks_total","experimental_crop_type","experimental_crop_side","fixed_goal_height","fixed_start_height","fixed_weeks_total","fixed_crop_type","trial_kind","trial_number","stage","left_current_height","left_weeks_remaining","left_crop_type","right_current_height","right_weeks_remaining","right_crop_type","mean_left_growth_given_left","sd_left_growth_given_left","mean_left_growth_given_middle","sd_left_growth_given_middle","mean_left_growth_given_right","sd_left_growth_given_right","mean_right_growth_given_left","sd_right_growth_given_left","mean_right_growth_given_middle","sd_right_growth_given_middle","mean_right_growth_given_right","sd_right_growth_given_right","response","response_time","left_growth","right_growth","other_key_pressed","mouse_clicked"
"206","86","text","0","275","1683582","0-0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","plant-game","0","276","1688600","0-0","","200","160","2","CORN CROP","Right","200","120","2","THISTLE WEED","experimental","125","1,2","120,112.58929535972732","2,1","THISTLE WEED,THISTLE WEED","160,177.6012641279791","2,1","CORN CROP,CORN CROP","0,0","20,20","10,10","20,20","20,20","20,20","0,0","20,20","10,10","20,20","20,20","20,20","0,0","2231,689","-7.410704640272689,3.552696789096857","17.601264127979114,32.28082267315702","0","0"
"196","86","text","0","277","1688936","0-0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","plant-game","0","278","1698260","0-0","","200","160","4","WHEAT CROP","Right","200","190","1","NETTLE WEED","experimental","126","1,2,3,4","190,170,189.04413395268082,196.3720592141219","1,3,2,1","NETTLE WEED,THISTLE WEED,THISTLE WEED,THISTLE WEED","160,177.50784726037156,192.09915117272118,247.27693738245225","4,3,2,1","WHEAT CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP","0,0,0,0","20,20,20,20","10,10,10,10","20,20,20,20","20,20,20,20","20,20,20,20","0,0,0,0","20,20,20,20","10,10,10,10","20,20,20,20","20,20,20,20","20,20,20,20","1,1,1,0","1790,1879,707,754","11.924824570888127,19.044133952680824,7.32792526144107,15.411341762576562","17.507847260371552,14.59130391234963,55.17778620973107,-14.815887015308908","0","0"
"169","86","text","0","279","1698559","0-0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","plant-game","0","280","1705729","0-0","","200","190","1","WHEAT CROP","Left","200","160","4","THISTLE WEED","experimental","127","1,2,3,4","190,170,204.73914571074062,224.46647041707567","1,3,2,1","WHEAT CROP,CORN CROP,CORN CROP,CORN CROP","160,166.1485971559776,170.01646935724747,171.03360792178105","4,3,2,1","THISTLE WEED,THISTLE WEED,THISTLE WEED,THISTLE WEED","20,20,20,20","20,20,20,20","10,10,10,10","20,20,20,20","0,0,0,0","20,20,20,20","20,20,20,20","20,20,20,20","10,10,10,10","20,20,20,20","0,0,0,0","20,20,20,20","0,0,0,0","1143,1128,916,670","50.37866262631553,34.73914571074063,19.727324706335043,28.97856664301148","6.148597155977612,3.8678722012698863,1.0171385645335782,40.0074808027725","0","0"
"250","86","text","0","281","1706129","0-0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","plant-game","0","282","1710692","0-0","","200","160","1","CORN CROP","Right","200","160","1","NETTLE WEED","experimental","128","1","160","1","NETTLE WEED","160","1","CORN CROP","0","20","10","20","20","20","0","20","10","20","20","20","1","2512","21.584653157126613","26.26263914875129","0","0"
"133","86","text","0","283","1710985","0-0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","plant-game","0","284","1715706","0-0","","200","160","1","WHEAT CROP","Left","200","120","2","THISTLE WEED","experimental","129","1,2","160,190","1,1","WHEAT CROP,CORN CROP","120,165.5262643635937","2,1","THISTLE WEED,THISTLE WEED","20,20","20,20","10,10","20,20","0,0","20,20","20,20","20,20","10,10","20,20","0,0","20,20","0,0","1037,893","-4.206594417217385,55.129876286984704","45.526264363593704,24.19761612295575","0","0"
"115","86","text","0","285","1715891","0-0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","plant-game","0","286","1726419","0-0","","200","190","4","CORN CROP","Right","200","180","8","THISTLE WEED","experimental","130","1,2,3,4,5,6,7,8","180,196.8880401983476,220.21827807510076,216.3763803613516,218.03411457128914,204.98697995082077,186.22786074803986,165.8935861015276","8,7,6,5,4,3,2,1","THISTLE WEED,THISTLE WEED,THISTLE WEED,THISTLE WEED,THISTLE WEED,THISTLE WEED,THISTLE WEED,THISTLE WEED","190,272.8576906620605,256.2030206073034,292.3869666700075,160,166.44355355344462,162.45245023320825,163.3648705565323","4,3,2,1,4,3,2,1","CORN CROP,CORN CROP,CORN CROP,CORN CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP","0,0,0,0,0,0,0,0","20,20,20,20,20,20,20,20","10,10,10,10,10,10,10,10","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","0,0,0,0,0,0,0,0","20,20,20,20,20,20,20,20","10,10,10,10,10,10,10,10","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","1,0,0,0,0,0,0,1","3269,721,459,133,356,396,368,427","16.888040198347586,23.330237876753166,-3.8418977137491557,1.6577342099375392,-13.047134620468377,-18.759119202780894,-20.334274646512256,53.917850107846775","82.85769066206052,-16.65467005475709,36.18394606270405,-14.744344916984506,6.443553553444607,-3.9911033202363733,0.9124203233240424,27.531098983252917","0","0"
"85","86","text","0","287","1726594","0-0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","plant-game","0","288","1739304","0-0","","200","160","4","CORN CROP","Right","200","180","8","NETTLE WEED","experimental","131","1,2,3,4,5,6,7,8","180,175.8148995548734,161.50025162648933,155.94773531299083,167.61840090335957,199.81986819106862,212.07429229961792,207.61427001101987","8,7,6,5,4,3,2,1","NETTLE WEED,NETTLE WEED,NETTLE WEED,NETTLE WEED,NETTLE WEED,NETTLE WEED,NETTLE WEED,NETTLE WEED","160,159.07341244955188,176.8908678691456,200.43338526454787,160,216.9655440620039,221.6592316486336,228.5001130420358","4,3,2,1,4,3,2,1","CORN CROP,CORN CROP,CORN CROP,CORN CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP","0,0,0,0,0,0,0,0","20,20,20,20,20,20,20,20","10,10,10,10,10,10,10,10","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","0,0,0,0,0,0,0,0","20,20,20,20,20,20,20,20","10,10,10,10,10,10,10,10","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","0,0,1,1,1,0,0,0","3940,680,1429,630,433,473,460,142","-4.185100445126599,-14.31464792838405,-5.55251631349849,11.670665590368742,32.201467287709065,12.2544241085493,-4.4600222885980445,1.6357325328287406","-0.9265875504481205,17.817455419593735,23.542517395402264,-17.66557613921413,56.96554406200389,4.6936875866297125,6.840881393402193,-14.33198828346857","0","0"
"1172","86","text","0","289","1740606","0-0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","plant-game","0","290","1746378","0-0","","200","190","2","CORN CROP","Left","200","120","2","NETTLE WEED","experimental","132","1,2","190,193.98657182019545","2,1","CORN CROP,CORN CROP","120,157.74520272728415","2,1","NETTLE WEED,NETTLE WEED","20,20","20,20","10,10","20,20","0,0","20,20","20,20","20,20","10,10","20,20","0,0","20,20","0,0","2591,421","3.9865718201954614,73.08526238045165","37.745202727284145,11.209390780612983","0","0"
"447","86","text","0","291","1746925","0-0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","plant-game","0","292","1752857","0-0","","200","190","4","CORN CROP","Left","200","180","4","NETTLE WEED","experimental","133","1,2,3,4","190,195.62285877541152,196.53402122155666,194.09093240160732","4,3,2,1","CORN CROP,CORN CROP,CORN CROP,CORN CROP","180,199.6583336359275,212.52973987130684,196.43266479235567","4,3,2,1","NETTLE WEED,NETTLE WEED,NETTLE WEED,NETTLE WEED","20,20,20,20","20,20,20,20","10,10,10,10","20,20,20,20","0,0,0,0","20,20,20,20","20,20,20,20","20,20,20,20","10,10,10,10","20,20,20,20","0,0,0,0","20,20,20,20","0,0,1,1","1542,533,535,496","5.622858775411508,0.9111624461451413,-2.4430888199493346,3.810768683477084","19.658333635927494,12.871406235379354,-16.097075078951168,-11.241893602427119","0","0"
"267","86","text","0","293","1753274","0-0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","plant-game","0","294","1766428","0-0","","200","120","4","CORN CROP","Right","200","160","8","NETTLE WEED","experimental","134","1,2,3,4,5,6,7,8","160,189.19954066829132,166.64650896850708,167.75607597043015,176.74897722093596,204.64976582692748,180.44447532720247,170.86182808268407","8,7,6,5,4,3,2,1","NETTLE WEED,NETTLE WEED,NETTLE WEED,NETTLE WEED,NETTLE WEED,NETTLE WEED,NETTLE WEED,NETTLE WEED","120,176.45844686528545,177.53736070195114,164.4592024719536,160,228.37709910534986,224.7259293986604,220.80598837522342","4,3,2,1,4,3,2,1","CORN CROP,CORN CROP,CORN CROP,CORN CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP","0,0,0,0,0,0,0,0","20,20,20,20,20,20,20,20","10,10,10,10,10,10,10,10","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","0,0,0,0,0,0,0,0","20,20,20,20,20,20,20,20","10,10,10,10,10,10,10,10","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","1,1,0,1,0,0,0,0","2609,622,1020,501,239,113,408,131","29.199540668291313,-22.553031699784256,1.1095670019230761,8.992901250505811,27.900788605991526,-24.20529049972501,-9.582647244518395,-9.279051078116765","56.45844686528547,1.0789138366656843,-13.078158229997554,47.13661458407236,68.37709910534986,-3.65116970668945,-3.9199410234369876,-17.001274555217492","0","0"
"189","86","text","0","295","1766760","0-0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","plant-game","0","296","1772625","0-0","","200","120","4","WHEAT CROP","Left","200","190","4","NETTLE WEED","experimental","135","1,2,3,4","120,105.4183730628018,104.69604292712212,125.42366458544342","4,3,2,1","WHEAT CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP","190,151.00544147211957,138.235731972282,159.9192742051165","4,3,2,1","NETTLE WEED,NETTLE WEED,NETTLE WEED,NETTLE WEED","20,20,20,20","20,20,20,20","10,10,10,10","20,20,20,20","0,0,0,0","20,20,20,20","20,20,20,20","20,20,20,20","10,10,10,10","20,20,20,20","0,0,0,0","20,20,20,20","1,1,0,1","1157,1017,369,570","-14.581626937198191,-0.7223301356796852,20.727621658321294,23.504726671233204","-38.994558527880415,-12.769709499837562,21.6835422328345,5.536683669828017","0","0"
"598","86","text","0","297","1773383","0-0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","plant-game","0","298","1781810","0-0","","200","190","1","WHEAT CROP","Right","200","120","4","NETTLE WEED","experimental","136","1,2,3,4","120,156.21522963094984,117.5894446148524,138.06497096367488","4,3,2,1","NETTLE WEED,NETTLE WEED,NETTLE WEED,NETTLE WEED","190,170,191.42282808843206,216.5384881648714","1,3,2,1","WHEAT CROP,CORN CROP,CORN CROP,CORN CROP","0,0,0,0","20,20,20,20","10,10,10,10","20,20,20,20","20,20,20,20","20,20,20,20","0,0,0,0","20,20,20,20","10,10,10,10","20,20,20,20","20,20,20,20","20,20,20,20","1,0,1,0","1848,735,1021,963","36.215229630949835,-38.62578501609743,20.47552634882249,3.3668074814388103","21.112433154978646,21.422828088432063,25.11566007643936,20.260339091330426","0","0"
"429","86","text","0","299","1782373","0-0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","plant-game","0","300","1787583","0-0","","200","180","1","WHEAT CROP","Right","200","120","1","NETTLE WEED","experimental","137","1","120","1","NETTLE WEED","180","1","WHEAT CROP","0","20","10","20","20","20","0","20","10","20","20","20","1","2748","-28.782281401345728","35.84209277363628","0","0"
"420","86","text","0","301","1788153","0-0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","plant-game","0","302","1794782","0-0","","200","120","2","CORN CROP","Left","200","190","1","THISTLE WEED","experimental","138","1,2","120,143.17388224340795","2,1","CORN CROP,CORN CROP","190,190","1,1","THISTLE WEED,NETTLE WEED","20,20","20,20","10,10","20,20","0,0","20,20","20,20","20,20","10,10","20,20","0,0","20,20","1,1","2213,736","23.173882243407952,30.38434145581801","-29.102598985869612,-19.700312863070973","0","0"
"523","86","text","0","303","1795415","0-0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","plant-game","0","304","1803851","0-0","","200","120","4","CORN CROP","Left","200","120","2","NETTLE WEED","experimental","139","1,2,3,4","120,129.0552474318014,122.29988979613589,147.12423879264628","4,3,2,1","CORN CROP,CORN CROP,CORN CROP,CORN CROP","120,95.96554173220618,180,194.71731347126374","2,1,2,1","NETTLE WEED,NETTLE WEED,THISTLE WEED,THISTLE WEED","20,20,20,20","20,20,20,20","10,10,10,10","20,20,20,20","0,0,0,0","20,20,20,20","20,20,20,20","20,20,20,20","10,10,10,10","20,20,20,20","0,0,0,0","20,20,20,20","0,0,0,1","2187,490,398,527","9.055247431801396,-6.755357635665522,24.82434899651038,30.003386765378156","-24.034458267793823,17.610243766778567,14.717313471263735,-12.391389140479859","0","0"
"142","86","text","0","305","1804103","0-0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","plant-game","0","306","1813893","0-0","","200","180","8","CORN CROP","Left","200","120","2","NETTLE WEED","experimental","140","1,2,3,4,5,6,7,8","180,161.0335892009284,194.5718143109708,192.3880831475188,205.9835199163365,201.0134946960036,154.32919668847757,188.6594996237744","8,7,6,5,4,3,2,1","CORN CROP,CORN CROP,CORN CROP,CORN CROP,CORN CROP,CORN CROP,CORN CROP,CORN CROP","120,120.05520711439083,140,164.96994385500415,184.2835180095551,222.60452118293603,239.06405034990667,227.18635507510498","2,1,6,5,4,3,2,1","NETTLE WEED,NETTLE WEED,THISTLE WEED,THISTLE WEED,THISTLE WEED,THISTLE WEED,THISTLE WEED,THISTLE WEED","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","10,10,10,10,10,10,10,10","20,20,20,20,20,20,20,20","0,0,0,0,0,0,0,0","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","10,10,10,10,10,10,10,10","20,20,20,20,20,20,20,20","0,0,0,0,0,0,0,0","20,20,20,20,20,20,20,20","0,0,0,0,1,1,0,0","1382,646,524,456,1434,453,359,228","-18.96641079907161,33.53822511004242,-2.183731163451988,13.59543676881767,-4.970025220332886,-46.68429800752601,34.330302935296835,-16.446999875831942","0.05520711439082859,20.514083933971495,24.969943855004146,19.31357415455097,38.3210031733809,16.45952916697065,-11.877695274801678,31.58480017710892","0","0"
"277","86","text","0","307","1814280","0-0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","plant-game","0","308","1823089","0-0","","200","190","8","WHEAT CROP","Left","200","180","8","THISTLE WEED","experimental","141","1,2,3,4,5,6,7,8","190,193.26290761088143,174.81939977357683,216.3565854148709,235.7140517566798,209.53644083927526,255.96768023793882,278.82989821493675","8,7,6,5,4,3,2,1","WHEAT CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP","180,153.143827103753,150.62557911426026,142.35792184934377,130.44686339091152,131.6136897030399,150.64145561161027,172.27345523025508","8,7,6,5,4,3,2,1","THISTLE WEED,THISTLE WEED,THISTLE WEED,THISTLE WEED,THISTLE WEED,THISTLE WEED,THISTLE WEED,THISTLE WEED","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","10,10,10,10,10,10,10,10","20,20,20,20,20,20,20,20","0,0,0,0,0,0,0,0","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","10,10,10,10,10,10,10,10","20,20,20,20,20,20,20,20","0,0,0,0,0,0,0,0","20,20,20,20,20,20,20,20","1,1,1,1,1,0,0,1","1168,471,390,654,379,1211,592,856","3.2629076108814177,-18.44350783730458,41.53718564129407,19.357466341808895,-26.177610917404547,46.43123939866356,22.862217976997925,9.196576121034681","-26.85617289624699,-2.5182479894927474,-8.267657264916483,-11.911058458432253,1.166826312128381,19.027765908570355,21.631999618644798,3.207150992250839","0","0"
"273","86","text","0","309","1823452","0-0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","plant-game","0","310","1830438","0-0","","200","160","2","CORN CROP","Right","200","120","1","THISTLE WEED","experimental","142","1,2","120,190","1,1","THISTLE WEED,NETTLE WEED","160,145.18249023382322","2,1","CORN CROP,CORN CROP","0,0","20,20","10,10","20,20","20,20","20,20","0,0","20,20","10,10","20,20","20,20","20,20","1,0","1751,2225","53.9299094188645,-31.480772656213457","-14.81750976617677,18.89055147836589","0","0"
"217","86","text","0","311","1830755","0-0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","plant-game","0","312","1837192","0-0","","200","180","1","WHEAT CROP","Left","200","120","2","NETTLE WEED","experimental","143","1,2","180,190","1,1","WHEAT CROP,CORN CROP","120,153.55556197811725","2,1","NETTLE WEED,NETTLE WEED","20,20","20,20","10,10","20,20","0,0","20,20","20,20","20,20","10,10","20,20","0,0","20,20","0,0","2414,1160","11.13317032761122,30.841036595111433","33.55556197811726,1.9528803311511602","0","0"
"180","86","text","0","313","1837482","0-0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","plant-game","0","314","1844956","0-0","","200","190","4","WHEAT CROP","Left","200","120","1","THISTLE WEED","experimental","144","1,2,3,4","190,196.8344298202916,234.62431551269668,218.56642784155596","4,3,2,1","WHEAT CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP","120,170,188.14808497672675,183.2500205344213","1,3,2,1","THISTLE WEED,NETTLE WEED,NETTLE WEED,NETTLE WEED","20,20,20,20","20,20,20,20","10,10,10,10","20,20,20,20","0,0,0,0","20,20,20,20","20,20,20,20","20,20,20,20","10,10,10,10","20,20,20,20","0,0,0,0","20,20,20,20","0,0,1,1","2035,361,548,430","6.834429820291595,37.78988569240509,-16.05788767114071,8.121011083104367","54.51403024518007,18.148084976726746,-4.898064442305447,5.047119105291504","0","0"
"1588","86","text","0","315","1846734","0-0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","plant-game","0","316","1860008","0-0","","200","160","4","CORN CROP","Right","200","120","8","THISTLE WEED","experimental","145","1,2,3,4,5,6,7,8","120,121.99963908245857,166.84227956637068,217.76329317289787,226.07292837309285,194.4510796564318,193.2237688336439,207.65195370292153","8,7,6,5,4,3,2,1","THISTLE WEED,THISTLE WEED,THISTLE WEED,THISTLE WEED,THISTLE WEED,THISTLE WEED,THISTLE WEED,THISTLE WEED","160,176.0362829230131,186.4532508295408,211.50293753140662,160,152.75453819150948,167.10144758738784,193.15033261610378","4,3,2,1,4,3,2,1","CORN CROP,CORN CROP,CORN CROP,CORN CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP","0,0,0,0,0,0,0,0","20,20,20,20,20,20,20,20","10,10,10,10,10,10,10,10","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","0,0,0,0,0,0,0,0","20,20,20,20,20,20,20,20","10,10,10,10,10,10,10,10","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","1,1,1,0,0,0,1,0","3007,369,419,781,325,330,353,446","1.9996390824585717,44.84264048391211,50.92101360652718,8.309635200194966,-31.62184871666104,-1.227310822787908,14.42818486927763,-17.240718140018075","16.036282923013093,10.41696790652771,25.04968670186583,28.823824159859903,-7.245461808490505,14.346909395878358,26.04888502871594,-37.28267252849025","0","0"
"272","86","text","0","317","1860400","0-0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","plant-game","0","318","1870605","0-0","","200","180","8","CORN CROP","Right","200","160","4","NETTLE WEED","experimental","146","1,2,3,4,5,6,7,8","160,212.19329180291416,206.33046175289624,186.0336816638274,160,131.61588858997956,131.0180325351629,156.57089267653578","4,3,2,1,4,3,2,1","NETTLE WEED,NETTLE WEED,NETTLE WEED,NETTLE WEED,THISTLE WEED,THISTLE WEED,THISTLE WEED,THISTLE WEED","180,194.96124059985954,247.20798506045946,257.1112231940691,244.76947690740752,259.58070347077717,253.55015231601874,235.08383912315315","8,7,6,5,4,3,2,1","CORN CROP,CORN CROP,CORN CROP,CORN CROP,CORN CROP,CORN CROP,CORN CROP,CORN CROP","0,0,0,0,0,0,0,0","20,20,20,20,20,20,20,20","10,10,10,10,10,10,10,10","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","0,0,0,0,0,0,0,0","20,20,20,20,20,20,20,20","10,10,10,10,10,10,10,10","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","1,0,0,0,0,0,0,0","2137,603,326,364,1496,479,350,407","52.19329180291416,-5.86283005001793,-20.29678008906886,-13.678621539791765,-28.38411141002044,-0.5978560548166879,25.552860141372875,-0.8825376286454727","14.961240599859531,52.24674446059993,9.903238133609653,-12.341746286661593,14.811226563369653,-6.030551154758426,-18.466313192865588,16.952008541430242","0","0"
"187","86","text","0","319","1870902","0-0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","plant-game","0","320","1879237","0-0","","200","160","8","CORN CROP","Right","200","180","8","NETTLE WEED","experimental","147","1,2,3,4,5,6,7,8","180,168.24150836053383,183.22358693836082,184.4622965355653,132.3748419819233,125.73794345327407,169.72401273543383,195.30845720049484","8,7,6,5,4,3,2,1","NETTLE WEED,NETTLE WEED,NETTLE WEED,NETTLE WEED,NETTLE WEED,NETTLE WEED,NETTLE WEED,NETTLE WEED","160,166.3933282776354,122.07934536360098,98.55340099062012,91.69693128496742,95.39277641295358,97.67038163101607,89.89829112219955","8,7,6,5,4,3,2,1","CORN CROP,CORN CROP,CORN CROP,CORN CROP,CORN CROP,CORN CROP,CORN CROP,CORN CROP","0,0,0,0,0,0,0,0","20,20,20,20,20,20,20,20","10,10,10,10,10,10,10,10","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","0,0,0,0,0,0,0,0","20,20,20,20,20,20,20,20","10,10,10,10,10,10,10,10","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","0,0,0,0,0,1,0,0","2059,418,462,379,400,441,465,671","-11.758491639466179,14.982078577827005,1.238709597204473,-52.08745455364198,-6.636898528649241,43.986069282159754,25.58444446506101,-39.15168508959453","6.393328277635401,-44.31398291403441,-23.52594437298086,-6.856469705652706,3.695845127986161,2.27760521806249,-7.772090508816522,45.69585230689541","0","0"
"100","86","text","0","321","1879437","0-0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","plant-game","0","322","1890859","0-0","","200","190","8","WHEAT CROP","Left","200","190","1","THISTLE WEED","experimental","148","1,2,3,4,5,6,7,8","190,184.83112784147312,222.97674846517944,225.4356803518721,243.60773633717898,233.21294824232444,235.46774798006427,223.61235755131165","8,7,6,5,4,3,2,1","WHEAT CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP","190,130,190.202833484616,246.0955447393434,253.9574730375982,272.9341470861217,264.72426456759337,269.75543402237975","1,7,6,5,4,3,2,1","THISTLE WEED,NETTLE WEED,NETTLE WEED,NETTLE WEED,NETTLE WEED,NETTLE WEED,NETTLE WEED,NETTLE WEED","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","10,10,10,10,10,10,10,10","20,20,20,20,20,20,20,20","0,0,0,0,0,0,0,0","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","10,10,10,10,10,10,10,10","20,20,20,20,20,20,20,20","0,0,0,0,0,0,0,0","20,20,20,20,20,20,20,20","0,0,1,1,1,1,1,1","3414,296,865,495,294,185,158,187","-5.168872158526877,38.145620623706314,2.4589318866926586,18.172055985306894,-10.39478809485453,2.254799737739819,-11.855390428752637,-12.912063994419409","0.7761688653677652,60.20283348461602,55.89271125472741,7.861928298254774,18.9766740485235,-8.209882518528325,5.031169454786389,31.020134599661752","0","0"
"256","86","text","0","323","1891227","0-0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","plant-game","0","324","1901795","0-0","","200","160","1","CORN CROP","Left","200","120","8","NETTLE WEED","experimental","149","1,2,3,4,5,6,7,8","160,130,146.58524886374335,178.11348174442594,232.38129941295625,253.45465951959392,243.08583657116347,264.6391315605743","1,7,6,5,4,3,2,1","CORN CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP,WHEAT CROP","120,98.25870447897874,138.97226943285628,143.30420420547014,185.70056305610004,200.9938575728973,196.91174332184943,179.76669447467177","8,7,6,5,4,3,2,1","NETTLE WEED,NETTLE WEED,NETTLE WEED,NETTLE WEED,NETTLE WEED,NETTLE WEED,NETTLE WEED,NETTLE WEED","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","10,10,10,10,10,10,10,10","20,20,20,20,20,20,20,20","0,0,0,0,0,0,0,0","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","20,20,20,20,20,20,20,20","10,10,10,10,10,10,10,10","20,20,20,20,20,20,20,20","0,0,0,0,0,0,0,0","20,20,20,20,20,20,20,20","0,0,0,0,0,1,1,1","908,2329,295,394,351,378,577,508","50.279893537166345,16.58524886374336,31.528232880682605,54.26781766853032,21.073360106637676,-10.368822948430454,21.553294989410844,-29.651339001116085","-21.741295521021257,40.71356495387754,4.331934772613868,42.396358850629895,15.293294516797246,-4.082114251047861,-17.14504884717767,-32.88073086437143","0","0"
"94","86","text","0","325","1901979","0-0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","plant-game","0","326","1911202","0-0","","200","190","2","CORN CROP","Right","200","160","4","NETTLE WEED","experimental","150","1,2,3,4","160,160.11167613297792,168.0374451042898,181.32528598267317","4,3,2,1","NETTLE WEED,NETTLE WEED,NETTLE WEED,NETTLE WEED","190,210.15302238624744,180,213.4163249601782","2,1,2,1","CORN CROP,CORN CROP,WHEAT CROP,WHEAT CROP","0,0,0,0","20,20,20,20","10,10,10,10","20,20,20,20","20,20,20,20","20,20,20,20","0,0,0,0","20,20,20,20","10,10,10,10","20,20,20,20","20,20,20,20","20,20,20,20","1,1,1,0","2867,718,589,529","0.11167613297793011,7.925768971311879,13.287840878383378,7.673636565418054","20.153022386247432,-4.649854924869544,33.416324960178216,-20.397281279551844","0","0"
"526","86","text","0","327","1911888","0-0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
